DIST,4,AN0,8A94,2.82,5.87,1.95,2.40,AN1,0323,-0.27,6.01,1.95,2.46,AN2,189B,0.00,0.00,1.95,4.19,AN3,C32D,2.84,0.00,1.95,4.05,POS,1.25,3.94,1.40,86
DIST,4,AN0,8A94,2.82,5.87,1.95,2.41,AN1,0323,-0.27,6.01,1.95,2.47,AN2,189B,0.00,0.00,1.95,4.16,AN3,C32D,2.84,0.00,1.95,3.95,POS,1.24,3.91,1.46,92
DIST,4,AN0,8A94,2.82,5.87,1.95,2.42,AN1,0323,-0.27,6.01,1.95,2.41,AN2,189B,0.00,0.00,1.95,4.24,AN3,C32D,2.84,0.00,1.95,4.09,POS,1.23,3.91,1.44,85
DIST,4,AN0,8A94,2.82,5.87,1.95,2.42,AN1,0323,-0.27,6.01,1.95,2.40,AN2,189B,0.00,0.00,1.95,4.22,AN3,C32D,2.84,0.00,1.95,4.12,POS,1.21,3.92,1.41,84
DIST,4,AN0,8A94,2.82,5.87,1.95,2.39,AN1,0323,-0.27,6.01,1.95,2.45,AN2,189B,0.00,0.00,1.95,4.10,AN3,C32D,2.84,0.00,1.95,3.99,POS,1.22,3.90,1.46,91
DIST,4,AN0,8A94,2.82,5.87,1.95,2.39,AN1,0323,-0.27,6.01,1.95,2.45,AN2,189B,0.00,0.00,1.95,4.12,AN3,C32D,2.84,0.00,1.95,4.00,POS,1.22,3.89,1.49,90
DIST,4,AN0,8A94,2.82,5.87,1.95,2.37,AN1,0323,-0.27,6.01,1.95,2.41,AN2,189B,0.00,0.00,1.95,4.22,AN3,C32D,2.84,0.00,1.95,4.00,POS,1.22,3.88,1.58,92
DIST,4,AN0,8A94,2.82,5.87,1.95,2.39,AN1,0323,-0.27,6.01,1.95,2.42,AN2,189B,0.00,0.00,1.95,4.19,AN3,C32D,2.84,0.00,1.95,4.11,POS,1.22,3.90,1.51,84
DIST,4,AN0,8A94,2.82,5.87,1.95,2.36,AN1,0323,-0.27,6.01,1.95,2.40,AN2,189B,0.00,0.00,1.95,4.19,AN3,C32D,2.84,0.00,1.95,4.04,POS,1.22,3.90,1.54,90
DIST,4,AN0,8A94,2.82,5.87,1.95,2.36,AN1,0323,-0.27,6.01,1.95,2.42,AN2,189B,0.00,0.00,1.95,4.18,AN3,C32D,2.84,0.00,1.95,4.11,POS,1.22,3.91,1.50,85
DIST,4,AN0,8A94,2.82,5.87,1.95,2.37,AN1,0323,-0.27,6.01,1.95,2.40,AN2,189B,0.00,0.00,1.95,4.18,AN3,C32D,2.84,0.00,1.95,4.11,POS,1.22,3.92,1.47,86
DIST,4,AN0,8A94,2.82,5.87,1.95,2.42,AN1,0323,-0.27,6.01,1.95,2.40,AN2,189B,0.00,0.00,1.95,4.10,AN3,C32D,2.84,0.00,1.95,4.12,POS,1.21,3.93,1.43,84
